Time 	 E 	 L 	 Deviation in E 	 Deviation in L
2.86513e+00 	 -5.00000e-01 	 1.00000e+00	2.164935e-15 	 1.9984014443252818e-15
2.87770e+00 	 -5.00000e-01 	 1.00000e+00	1.998401e-15 	 1.9984014443252818e-15
2.89027e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
2.90283e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 1.9984014443252818e-15
2.91540e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.9984014443252818e-15
2.92796e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 1.9984014443252818e-15
2.94053e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 1.9984014443252818e-15
2.95310e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
2.96566e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
2.97823e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
2.99080e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 1.9984014443252818e-15
3.00336e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-15 	 2.2204460492503131e-15
3.01593e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-15 	 2.2204460492503131e-15
3.02850e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-15 	 2.2204460492503131e-15
3.04106e+00 	 -5.00000e-01 	 1.00000e+00	2.164935e-15 	 2.2204460492503131e-15
3.05363e+00 	 -5.00000e-01 	 1.00000e+00	2.164935e-15 	 2.2204460492503131e-15
3.06619e+00 	 -5.00000e-01 	 1.00000e+00	2.109424e-15 	 2.2204460492503131e-15
3.07876e+00 	 -5.00000e-01 	 1.00000e+00	2.220446e-15 	 2.2204460492503131e-15
3.09133e+00 	 -5.00000e-01 	 1.00000e+00	2.275957e-15 	 2.2204460492503131e-15
3.10389e+00 	 -5.00000e-01 	 1.00000e+00	2.275957e-15 	 2.4424906541753444e-15
3.11646e+00 	 -5.00000e-01 	 1.00000e+00	2.164935e-15 	 2.2204460492503131e-15
3.12903e+00 	 -5.00000e-01 	 1.00000e+00	2.053913e-15 	 2.2204460492503131e-15
3.14159e+00 	 -5.00000e-01 	 1.00000e+00	1.887379e-15 	 1.9984014443252818e-15
3.15416e+00 	 -5.00000e-01 	 1.00000e+00	1.998401e-15 	 1.9984014443252818e-15
3.16673e+00 	 -5.00000e-01 	 1.00000e+00	1.942890e-15 	 1.9984014443252818e-15
3.17929e+00 	 -5.00000e-01 	 1.00000e+00	1.831868e-15 	 1.7763568394002505e-15
3.19186e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
3.20442e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.5543122344752192e-15
3.21699e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
3.22956e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
3.24212e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.5543122344752192e-15
3.25469e+00 	 -5.00000e-01 	 1.00000e+00	1.609823e-15 	 1.5543122344752192e-15
