time 	 energy deviation
2.0608847808e-01 	 2.5500073258e-01
2.0671679661e-01 	 2.5500073942e-01
2.0734511514e-01 	 2.5500074629e-01
2.0797343367e-01 	 2.5500075321e-01
2.0860175220e-01 	 2.5500076017e-01
2.0923007073e-01 	 2.5500076717e-01
2.0985838926e-01 	 2.5500077422e-01
2.1048670779e-01 	 2.5500078131e-01
2.1111502632e-01 	 2.5500078845e-01
2.1174334485e-01 	 2.5500079563e-01
2.1237166338e-01 	 2.5500080286e-01
2.1299998191e-01 	 2.5500081013e-01
2.1362830044e-01 	 2.5500081744e-01
2.1425661897e-01 	 2.5500082480e-01
2.1488493751e-01 	 2.5500083221e-01
2.1551325604e-01 	 2.5500083966e-01
2.1614157457e-01 	 2.5500084716e-01
2.1676989310e-01 	 2.5500085470e-01
2.1739821163e-01 	 2.5500086229e-01
2.1802653016e-01 	 2.5500086992e-01
2.1865484869e-01 	 2.5500087760e-01
2.1928316722e-01 	 2.5500088533e-01
2.1991148575e-01 	 2.5500089310e-01
2.2053980428e-01 	 2.5500090092e-01
2.2116812281e-01 	 2.5500090879e-01
2.2179644134e-01 	 2.5500091670e-01
2.2242475987e-01 	 2.5500092466e-01
2.2305307840e-01 	 2.5500093267e-01
2.2368139694e-01 	 2.5500094072e-01
2.2430971547e-01 	 2.5500094882e-01
2.2493803400e-01 	 2.5500095697e-01
2.2556635253e-01 	 2.5500096517e-01
2.2619467106e-01 	 2.5500097342e-01
2.2682298959e-01 	 2.5500098171e-01
2.2745130812e-01 	 2.5500099005e-01
2.2807962665e-01 	 2.5500099845e-01
2.2870794518e-01 	 2.5500100689e-01
2.2933626371e-01 	 2.5500101537e-01
2.2996458224e-01 	 2.5500102391e-01
2.3059290077e-01 	 2.5500103250e-01
2.3122121930e-01 	 2.5500104113e-01
2.3184953783e-01 	 2.5500104982e-01
2.3247785637e-01 	 2.5500105855e-01
2.3310617490e-01 	 2.5500106734e-01
2.3373449343e-01 	 2.5500107617e-01
2.3436281196e-01 	 2.5500108506e-01
2.3499113049e-01 	 2.5500109399e-01
2.3561944902e-01 	 2.5500110298e-01
2.3624776755e-01 	 2.5500111202e-01
2.3687608608e-01 	 2.5500112110e-01
2.3750440461e-01 	 2.5500113024e-01
2.3813272314e-01 	 2.5500113943e-01
2.3876104167e-01 	 2.5500114867e-01
2.3938936020e-01 	 2.5500115796e-01
2.4001767873e-01 	 2.5500116730e-01
2.4064599726e-01 	 2.5500117670e-01
2.4127431580e-01 	 2.5500118615e-01
2.4190263433e-01 	 2.5500119565e-01
2.4253095286e-01 	 2.5500120520e-01
2.4315927139e-01 	 2.5500121480e-01
2.4378758992e-01 	 2.5500122446e-01
2.4441590845e-01 	 2.5500123417e-01
2.4504422698e-01 	 2.5500124393e-01
2.4567254551e-01 	 2.5500125374e-01
2.4630086404e-01 	 2.5500126361e-01
2.4692918257e-01 	 2.5500127353e-01
2.4755750110e-01 	 2.5500128351e-01
2.4818581963e-01 	 2.5500129354e-01
2.4881413816e-01 	 2.5500130362e-01
2.4944245670e-01 	 2.5500131376e-01
2.5007077523e-01 	 2.5500132395e-01
2.5069909376e-01 	 2.5500133419e-01
2.5132741229e-01 	 2.5500134449e-01
2.5195573082e-01 	 2.5500135485e-01
2.5258404935e-01 	 2.5500136526e-01
2.5321236788e-01 	 2.5500137572e-01
2.5384068641e-01 	 2.5500138624e-01
2.5446900494e-01 	 2.5500139682e-01
2.5509732347e-01 	 2.5500140745e-01
