t/T 	 E_L 	 E_K  
4602.428641 	 0.000015411909 	 0.004846741837 
4602.576967 	 0.000002556050 	 0.004847340809 
4602.725294 	 0.000000856769 	 0.004848258847 
4602.873621 	 0.000011118731 	 0.004849198694 
4603.021947 	 0.000028685511 	 0.004849940467 
4603.170274 	 0.000046870610 	 0.004850412109 
4603.318601 	 0.000061004125 	 0.004850652073 
4603.466927 	 0.000069861116 	 0.004850742938 
4603.615254 	 0.000074528447 	 0.004850763009 
4603.763581 	 0.000076676283 	 0.004850763731 
4603.911907 	 0.000077573675 	 0.004850763050 
4604.060234 	 0.000077920541 	 0.004850744484 
4604.208561 	 0.000078036982 	 0.004850658160 
4604.356887 	 0.000078063184 	 0.004850428009 
4604.505214 	 0.000078064471 	 0.004849975953 
4604.653541 	 0.000078064346 	 0.004849273743 
4604.801868 	 0.000078049495 	 0.004848415637 
4604.950194 	 0.000077967503 	 0.004847664452 
4605.098521 	 0.000077705289 	 0.004847386314 
4605.246848 	 0.000077008398 	 0.004847829767 
4605.395174 	 0.000075304641 	 0.004848869435 
4605.543501 	 0.000071488553 	 0.004849988000 
4605.691828 	 0.000063943234 	 0.004850633895 
4605.840154 	 0.000051268446 	 0.004850673607 
4605.988481 	 0.000033878187 	 0.004850472974 
4606.136808 	 0.000015501678 	 0.004850531270 
4606.285134 	 0.000002598534 	 0.004851074100 
4606.433461 	 0.000000832015 	 0.004851968695 
4606.581788 	 0.000011038556 	 0.004852920504 
4606.730114 	 0.000028584335 	 0.004853693384 
4606.878441 	 0.000046781569 	 0.004854197728 
4607.026768 	 0.000060942862 	 0.004854462030 
4607.175094 	 0.000069826397 	 0.004854566609 
4607.323421 	 0.000074511591 	 0.004854591964 
4607.471748 	 0.000076668983 	 0.004854593403 
4607.620074 	 0.000077570753 	 0.004854593089 
4607.768401 	 0.000077919476 	 0.004854578765 
4607.916728 	 0.000078036680 	 0.004854504482 
4608.065055 	 0.000078063147 	 0.004854296560 
4608.213381 	 0.000078064473 	 0.004853874987 
4608.361708 	 0.000078064357 	 0.004853201639 
4608.510035 	 0.000078049687 	 0.004852351967 
4608.658361 	 0.000077968279 	 0.004851568491 
4608.806688 	 0.000077707519 	 0.004851213663 
4608.955015 	 0.000077014087 	 0.004851565888 
4609.103341 	 0.000075318106 	 0.004852554206 
4609.251668 	 0.000071517310 	 0.004853696971 
